epoch,train_loss,train_f1,val_loss,val_f1
1,0.04593442953629069,0.9815392931425057,0.010310255974867946,0.9923525969818986
2,0.011273504523089997,0.9955903845145831,0.010296001576406776,0.9958432256568903
3,0.003283896934665621,0.9984679990722171,0.10800647355812047,0.8837974987629108
4,0.005795811715494648,0.9977598845481029,0.009274688970801574,0.9970736819972844
5,0.007228631736330131,0.9974390167321671,0.43677640339573853,0.8163540321453064
6,0.0034960162195606607,0.9988004112383382,3.1893154074252905,0.6640135805470507
7,0.006030910601553152,0.9976783504066771,0.007842989097360352,0.9986044512637192
8,0.0018802978515053202,0.9994421846750917,0.013402401971914273,0.9889187476123483
9,0.0035363326909590297,0.9988749626265659,0.012403260823916335,0.9941703976823542
10,0.0014313570836528555,0.9991265055271882,0.012972864178251454,0.9986044512637192
11,0.010089692936244853,0.9964071219887751,0.014802312428589863,0.9964649522412111
12,0.0020433460814397657,0.9991224315899317,0.01152797746561195,0.9957734327009081
13,0.0025458200197343915,0.9992845990894578,0.012379125781474817,0.9915011270780502
