epoch,train_loss,train_f1,val_loss,val_f1
1,0.03851258035569223,0.986074422093825,0.012511033027948133,0.9905190344906597
2,0.014077478490238875,0.994663159617995,0.012812913899890253,0.9895366926714115
3,0.018163889788108307,0.9931176941861403,0.007458084696086839,0.9955297289124672
4,0.012219155729898318,0.995361886081589,0.012480589213112974,0.9942427081771147
5,0.005399270339125524,0.9982345334100632,0.010374542753944203,0.9951590580948176
6,0.003599917009221777,0.9985562286017103,0.015346151009715727,0.9872804676459306
7,0.020584408614741114,0.9926877154856121,0.00776470178527955,0.9986044512637192
8,0.007712232156267328,0.9972801818016421,0.011517705757236213,0.9955560086128766
9,0.011661448345779141,0.995763943706617,0.010326801974124444,0.9936282158958903
10,0.00448405034885938,0.99847825845263,0.009162150464873866,0.9963796489271735
11,0.008269594876878455,0.9963082635857853,0.009344769202676628,0.997060438856242
12,0.0056420318828556025,0.9977004801970027,0.028610610208679665,0.9832458388693408
13,0.006923944492425437,0.9974444209136758,0.0070176020013587555,0.9979029062895816
