epoch,train_loss,train_f1,val_loss,val_f1,training_time_sec,peak_gpu_memory_mb
1,0.04298551523680222,0.9816295532738314,0.0224194492376283,0.9809354232965668,61.82238531112671,542.96044921875
2,0.012490861159295447,0.9961287383760755,0.012608428902112832,0.9943060456387839,128.27863144874573,542.96044921875
3,0.005164931363420077,0.9972865599338859,0.0109431908189079,0.9964202118663511,196.83313035964966,542.96044921875
4,0.006060741548967689,0.997187193612497,0.024128184584869015,0.9866413213392171,265.4623591899872,542.96044921875
5,0.005979304092990598,0.9972859489577117,0.014203034025519425,0.9933969325335411,335.1219244003296,542.96044921875
6,0.004784502986112008,0.9977652081167974,0.007701206271101949,0.9964202118663511,404.53011083602905,542.96044921875
7,0.0005849799373536085,0.9998357018003872,0.009081668051415834,0.9985724268743136,473.68881821632385,542.96044921875
8,0.005184207984139204,0.9984357051272079,0.07149883924423324,0.9164321292748093,543.2407903671265,542.96044921875
9,0.009470494893372258,0.9964566539865642,0.008798171925946681,0.994886354073594,613.2921085357666,542.96044921875
10,0.0040189598515590124,0.9979488229023775,0.013949836256478313,0.9910973175310889,682.95960688591,542.96044921875
11,0.0021278010990513616,0.9990088188498111,0.013504209157902892,0.9936064164469375,752.6118948459625,542.96044921875
12,0.0006307614335783759,0.999751436295306,0.011163724177824743,0.9985724268743136,822.8774602413177,542.96044921875
13,0.0015065596258271217,0.9994225901771826,0.02729347767990461,0.9802689585505987,892.0383203029633,542.96044921875
