epoch,train_loss,train_f1,val_loss,val_f1,training_time_sec,peak_gpu_memory_mb
1,0.037444553702109244,0.9852171907074913,0.04926660019274685,0.9241498152777656,131.3582582473755,4121.96240234375
2,0.02402744079257509,0.9917560014675102,0.031306095476935074,0.9760366654084031,262.5510256290436,4121.96240234375
3,0.011086537824318125,0.9960439747830367,0.017776219488409604,0.9936569406628855,394.0550527572632,4121.96240234375
4,0.013863406897324305,0.9945514786769412,0.012999534950151848,0.9943060456387839,525.4402120113373,4121.96240234375
5,0.00671276578395304,0.9976900787661923,0.008897409631926522,0.9985724268743136,656.9252820014954,4121.96240234375
6,0.010912584425288004,0.9968552453463162,0.021634368407234143,0.9866659738906393,788.5085966587067,4121.96240234375
7,0.021047540968601692,0.9924164932262983,0.024728089366726224,0.9733641240732682,919.9146964550018,4121.96240234375
8,0.015076261103956866,0.9943863711784173,0.011858234159308473,0.9970385097653537,1050.9097847938538,4121.96240234375
9,0.005718273067596703,0.9982718850822,0.009182700638370322,0.9985724268743136,1182.2892360687256,4121.96240234375
10,0.0045143952187811165,0.9985131501777694,0.009929926043511696,0.9964202118663511,1313.6142296791077,4121.96240234375
11,0.005218238190337241,0.9977680206297563,0.011965440734177721,0.9957129281453675,1444.493085861206,4121.96240234375
