epoch,train_loss,train_f1,val_loss,val_f1,training_time_sec,peak_gpu_memory_mb
1,0.04138148228693583,0.9859139484835379,0.010394977191412526,0.994886354073594,92.05077791213989,2833.5458984375
2,0.01326664825751317,0.9953790020049027,0.009626092271821075,0.9939707085154482,182.89396238327026,2833.5458984375
3,0.007616567509815823,0.9979407631557415,0.04837808530137368,0.958139907851231,273.7694218158722,2833.5458984375
4,0.008653029860875076,0.9969587104818709,0.018722771152096855,0.9950082111571993,364.5471692085266,2833.5458984375
5,0.009377504341625521,0.9966291793772134,0.014961951358850286,0.9970252723801712,455.2165741920471,2833.5458984375
6,0.0060216326025619065,0.9976151546503913,0.0153259081640644,0.9928044042823322,548.0019636154175,2833.5458984375
7,0.0030312072917686715,0.9987652328480673,0.013108350212396657,0.9970252723801712,640.7564785480499,2833.5458984375
8,0.004601699689806152,0.9983496158139973,0.010992561355637429,0.994886354073594,733.2646327018738,2833.5458984375
9,0.005513395095324087,0.9977686848191863,0.011391291203459612,0.9978625445497844,825.6244599819183,2833.5458984375
10,0.003081950586008288,0.9985790757183933,0.021312159010091123,0.9970252723801712,918.1448268890381,2833.5458984375
11,0.00684226621855167,0.9980240519689253,0.010695558197730094,0.9978625445497844,1011.0064511299133,2833.5458984375
12,0.00207540756918412,0.9992551830657824,0.012148018328385,0.9928044042823322,1103.5491878986359,2833.5458984375
13,0.0007147168225155499,0.9999180953185051,0.01030426674480991,0.9970252723801712,1195.7120094299316,2833.5458984375
14,0.005372679273374394,0.9979368328480046,0.012135350583686288,0.9956080898584251,1288.16339802742,2833.5458984375
15,0.0028569218701176664,0.9990084690230429,0.04101047615412222,0.9599714419207034,1380.437352180481,2833.5458984375
